xmin_original,ymin_original,xmax_original,ymax_original,score,class
5391,3601,5419,3640,-1,melon
438,3599,477,3640,-1,melon
3686,3604,3715,3640,-1,melon
938,3595,966,3639,-1,melon
734,3607,779,3634,-1,melon
192,3602,221,3633,-1,melon
241,3602,289,3629,-1,melon
2411,3608,2437,3626,-1,melon
5352,3588,5394,3618,-1,melon
2747,3560,2782,3611,-1,melon
1079,3581,1116,3604,-1,melon
448,3552,490,3599,-1,melon
3400,3570,3429,3597,-1,melon
1095,3559,1134,3589,-1,melon
2369,3558,2392,3587,-1,melon
2414,3543,2445,3571,-1,melon
3745,3538,3777,3569,-1,melon
758,3543,793,3569,-1,melon
5093,3535,5123,3562,-1,melon
1168,3530,1197,3561,-1,melon
3673,3524,3701,3560,-1,melon
166,3516,194,3557,-1,melon
5367,3518,5416,3554,-1,melon
2359,3525,2376,3553,-1,melon
4029,3506,4059,3553,-1,melon
138,3516,171,3552,-1,melon
3357,3519,3385,3548,-1,melon
414,3496,458,3548,-1,melon
3733,3509,3767,3543,-1,melon
2405,3511,2433,3542,-1,melon
40,3504,63,3539,-1,melon
1356,3505,1385,3537,-1,melon
1095,3509,1131,3529,-1,melon
2688,3502,2724,3529,-1,melon
5097,3498,5131,3524,-1,melon
5054,3500,5083,3521,-1,melon
3725,3484,3753,3519,-1,melon
3383,3489,3412,3519,-1,melon
102,3479,139,3508,-1,melon
3745,3468,3770,3508,-1,melon
2701,3472,2739,3507,-1,melon
3404,3471,3425,3498,-1,melon
2675,3450,2711,3479,-1,melon
3805,3446,3834,3477,-1,melon
2708,3445,2746,3473,-1,melon
481,3443,517,3470,-1,melon
732,3443,776,3468,-1,melon
5071,3441,5095,3463,-1,melon
3401,3424,3426,3455,-1,melon
5369,3427,5411,3452,-1,melon
2425,3426,2444,3451,-1,melon
160,3421,196,3451,-1,melon
5342,3401,5375,3449,-1,melon
455,3406,484,3443,-1,melon
223,3412,265,3440,-1,melon
2402,3410,2422,3438,-1,melon
3441,3406,3464,3437,-1,melon
3700,3403,3733,3433,-1,melon
5060,3397,5090,3429,-1,melon
2422,3405,2452,3428,-1,melon
5111,3404,5141,3428,-1,melon
4736,3396,4781,3420,-1,melon
761,3373,787,3419,-1,melon
1174,3394,1210,3419,-1,melon
1103,3396,1134,3417,-1,melon
2403,3389,2424,3414,-1,melon
3394,3383,3417,3411,-1,melon
1158,3373,1191,3411,-1,melon
736,3382,763,3411,-1,melon
3445,3377,3470,3406,-1,melon
2383,3377,2406,3404,-1,melon
5109,3363,5142,3400,-1,melon
4080,3368,4110,3400,-1,melon
2251,3373,2274,3400,-1,melon
3416,3369,3440,3396,-1,melon
2675,3356,2717,3390,-1,melon
3386,3355,3408,3389,-1,melon
3692,3357,3729,3389,-1,melon
4017,3362,4051,3388,-1,melon
5374,3361,5401,3387,-1,melon
418,3344,453,3386,-1,melon
1032,3363,1059,3384,-1,melon
2432,3357,2463,3382,-1,melon
199,3353,241,3381,-1,melon
5076,3350,5108,3379,-1,melon
95,3361,120,3378,-1,melon
4099,3345,4137,3373,-1,melon
1131,3341,1160,3371,-1,melon
3711,3327,3743,3367,-1,melon
468,3316,501,3363,-1,melon
5108,3334,5131,3361,-1,melon
3348,3331,3369,3356,-1,melon
2343,3328,2370,3352,-1,melon
5145,3329,5164,3349,-1,melon
5064,3313,5094,3343,-1,melon
4750,3305,4782,3334,-1,melon
2710,3298,2748,3334,-1,melon
2367,3312,2397,3333,-1,melon
3395,3301,3416,3328,-1,melon
5094,3298,5121,3325,-1,melon
5071,3290,5099,3320,-1,melon
692,3298,734,3317,-1,melon
4744,3274,4772,3308,-1,melon
3425,3273,3451,3306,-1,melon
3397,3275,3421,3303,-1,melon
4786,3266,4811,3303,-1,melon
703,3275,739,3299,-1,melon
4540,3259,4565,3293,-1,melon
5364,3248,5409,3291,-1,melon
4718,3259,4750,3288,-1,melon
3078,3270,3096,3288,-1,melon
3098,3264,3117,3286,-1,melon
444,3227,485,3279,-1,melon
91,3252,133,3277,-1,melon
1084,3246,1114,3274,-1,melon
423,3230,453,3274,-1,melon
3376,3247,3398,3274,-1,melon
4174,3249,4203,3273,-1,melon
2718,3220,2747,3271,-1,melon
3075,3256,3093,3270,-1,melon
4095,3241,4132,3267,-1,melon
2657,3220,2700,3264,-1,melon
3283,3231,3305,3262,-1,melon
365,3228,388,3259,-1,melon
4070,3230,4108,3258,-1,melon
3396,3231,3417,3257,-1,melon
3069,3230,3088,3256,-1,melon
4877,3218,4905,3254,-1,melon
751,3217,772,3252,-1,melon
4760,3222,4782,3251,-1,melon
3088,3224,3111,3251,-1,melon
127,3214,166,3251,-1,melon
765,3204,803,3247,-1,melon
4009,3222,4048,3243,-1,melon
4697,3220,4731,3243,-1,melon
5362,3206,5395,3239,-1,melon
4071,3208,4107,3233,-1,melon
1025,3205,1045,3230,-1,melon
1084,3193,1107,3228,-1,melon
3664,3189,3699,3228,-1,melon
4744,3198,4772,3226,-1,melon
4103,3198,4134,3222,-1,melon
5431,3179,5466,3218,-1,melon
99,3194,134,3217,-1,melon
4713,3177,4744,3216,-1,melon
5048,3177,5076,3206,-1,melon
5408,3165,5440,3202,-1,melon
155,3151,182,3198,-1,melon
1113,3167,1139,3195,-1,melon
5085,3161,5112,3186,-1,melon
1058,3154,1100,3186,-1,melon
5320,3161,5365,3184,-1,melon
5375,3155,5419,3183,-1,melon
3409,3157,3429,3178,-1,melon
3386,3144,3412,3176,-1,melon
2403,3139,2427,3173,-1,melon
722,3138,757,3172,-1,melon
881,3146,923,3167,-1,melon
5102,3145,5131,3165,-1,melon
2708,3122,2732,3161,-1,melon
1078,3134,1108,3155,-1,melon
4007,3117,4040,3150,-1,melon
4711,3119,4751,3147,-1,melon
4689,3109,4715,3147,-1,melon
2383,3107,2423,3144,-1,melon
5056,3110,5089,3144,-1,melon
5087,3100,5120,3131,-1,melon
2663,3098,2695,3127,-1,melon
159,3082,183,3120,-1,melon
708,3091,748,3113,-1,melon
4743,3079,4771,3108,-1,melon
5412,3074,5460,3106,-1,melon
3709,3073,3739,3100,-1,melon
4708,3079,4735,3100,-1,melon
5062,3073,5099,3098,-1,melon
399,3045,434,3098,-1,melon
744,3053,766,3094,-1,melon
203,3051,240,3090,-1,melon
339,3057,387,3089,-1,melon
3728,3051,3758,3088,-1,melon
2362,3055,2397,3085,-1,melon
4004,3051,4029,3080,-1,melon
2678,3056,2717,3080,-1,melon
1041,3050,1084,3077,-1,melon
2726,3044,2749,3077,-1,melon
4720,3045,4756,3072,-1,melon
5108,3038,5145,3072,-1,melon
4033,3052,4064,3072,-1,melon
1156,3049,1199,3069,-1,melon
