xmin_original,ymin_original,xmax_original,ymax_original,score,class
4106,3617,4130,3640,-1,melon
4256,3603,4285,3640,-1,melon
1049,3600,1095,3637,-1,melon
985,3609,1021,3636,-1,melon
313,3601,363,3634,-1,melon
3457,3593,3488,3627,-1,melon
4137,3572,4160,3602,-1,melon
933,3558,960,3597,-1,melon
895,3556,930,3594,-1,melon
3714,3567,3753,3592,-1,melon
249,3534,279,3574,-1,melon
4375,3548,4407,3570,-1,melon
686,3537,714,3567,-1,melon
3720,3546,3754,3567,-1,melon
4270,3542,4309,3565,-1,melon
5039,3536,5068,3562,-1,melon
3677,3529,3709,3562,-1,melon
645,3513,679,3556,-1,melon
2024,3488,2055,3532,-1,melon
306,3504,352,3530,-1,melon
973,3495,1010,3528,-1,melon
3357,3479,3383,3524,-1,melon
4952,3494,4977,3522,-1,melon
2059,3475,2090,3512,-1,melon
661,3481,700,3510,-1,melon
912,3471,956,3504,-1,melon
4999,3456,5019,3493,-1,melon
1293,3467,1327,3493,-1,melon
3486,3459,3522,3477,-1,melon
635,3435,672,3477,-1,melon
3710,3429,3737,3477,-1,melon
250,3422,283,3471,-1,melon
1359,3430,1391,3468,-1,melon
2014,3426,2048,3466,-1,melon
4148,3418,4173,3466,-1,melon
5000,3433,5028,3460,-1,melon
3356,3424,3401,3453,-1,melon
4377,3427,4402,3452,-1,melon
910,3403,951,3439,-1,melon
3732,3417,3766,3438,-1,melon
3331,3391,3355,3438,-1,melon
5022,3389,5048,3420,-1,melon
1311,3381,1353,3415,-1,melon
5281,3360,5306,3413,-1,melon
5299,3360,5336,3404,-1,melon
4296,3364,4329,3403,-1,melon
612,3356,659,3401,-1,melon
4124,3353,4150,3395,-1,melon
1370,3352,1400,3394,-1,melon
3728,3357,3754,3394,-1,melon
1641,3371,1686,3392,-1,melon
1666,3340,1686,3379,-1,melon
3714,3346,3737,3378,-1,melon
5053,3340,5073,3372,-1,melon
4339,3348,4375,3369,-1,melon
5307,3339,5338,3366,-1,melon
1628,3325,1662,3365,-1,melon
2050,3325,2085,3363,-1,melon
4210,3333,4242,3357,-1,melon
4032,3324,4063,3352,-1,melon
1721,3313,1751,3351,-1,melon
5272,3297,5301,3351,-1,melon
698,3315,732,3349,-1,melon
3327,3300,3355,3348,-1,melon
4927,3323,4951,3347,-1,melon
968,3304,1010,3344,-1,melon
4077,3309,4111,3342,-1,melon
5306,3319,5340,3341,-1,melon
3351,3290,3376,3335,-1,melon
2011,3303,2042,3327,-1,melon
5057,3288,5080,3326,-1,melon
4932,3293,4954,3325,-1,melon
3655,3291,3681,3323,-1,melon
673,3282,708,3317,-1,melon
3493,3277,3530,3316,-1,melon
1680,3287,1706,3316,-1,melon
590,3278,634,3312,-1,melon
3707,3284,3731,3309,-1,melon
4092,3277,4120,3307,-1,melon
2006,3276,2038,3306,-1,melon
1272,3266,1301,3306,-1,melon
1361,3266,1390,3301,-1,melon
2230,3256,2259,3293,-1,melon
1763,3264,1802,3293,-1,melon
1256,3254,1280,3287,-1,melon
2057,3251,2091,3286,-1,melon
5085,3260,5121,3281,-1,melon
4205,3247,4237,3276,-1,melon
5046,3255,5069,3274,-1,melon
3349,3234,3378,3271,-1,melon
2081,3241,2109,3266,-1,melon
3398,3234,3443,3263,-1,melon
5084,3238,5108,3258,-1,melon
4162,3231,4198,3258,-1,melon
5045,3235,5071,3256,-1,melon
3339,3209,3368,3253,-1,melon
941,3216,985,3248,-1,melon
4091,3214,4121,3237,-1,melon
3717,3205,3757,3233,-1,melon
2022,3198,2068,3233,-1,melon
5061,3204,5083,3230,-1,melon
1691,3197,1723,3223,-1,melon
3686,3179,3709,3222,-1,melon
4101,3195,4130,3216,-1,melon
3346,3182,3387,3215,-1,melon
2049,3176,2094,3212,-1,melon
4042,3154,4067,3198,-1,melon
1697,3154,1728,3191,-1,melon
4332,3150,4360,3188,-1,melon
3351,3158,3398,3185,-1,melon
4236,3146,4271,3180,-1,melon
661,3131,705,3173,-1,melon
4083,3150,4113,3172,-1,melon
4878,3141,4906,3159,-1,melon
5264,3109,5300,3149,-1,melon
3629,3125,3666,3146,-1,melon
1333,3108,1364,3142,-1,melon
4887,3114,4919,3137,-1,melon
881,3097,912,3136,-1,melon
5024,3102,5055,3131,-1,melon
5006,3101,5032,3130,-1,melon
4132,3102,4174,3128,-1,melon
4172,3091,4197,3127,-1,melon
3685,3082,3715,3124,-1,melon
5251,3095,5306,3116,-1,melon
1694,3070,1725,3109,-1,melon
1337,3069,1374,3099,-1,melon
244,3074,282,3099,-1,melon
3716,3056,3753,3092,-1,melon
4940,3061,4965,3091,-1,melon
3390,3060,3426,3090,-1,melon
3337,3023,3360,3076,-1,melon
256,3033,287,3074,-1,melon
934,3030,979,3070,-1,melon
3361,3026,3391,3069,-1,melon
963,3011,996,3060,-1,melon
1656,3016,1694,3059,-1,melon
4303,3006,4340,3059,-1,melon
3666,3022,3710,3058,-1,melon
1553,3021,1582,3054,-1,melon
3913,3027,3945,3050,-1,melon
1874,3011,1900,3049,-1,melon
4030,3021,4065,3043,-1,melon
1337,2997,1366,3031,-1,melon
211,2990,249,3028,-1,melon
3349,2991,3390,3022,-1,melon
929,2989,959,3018,-1,melon
3540,2973,3571,3017,-1,melon
333,2979,367,3014,-1,melon
4039,2970,4080,3004,-1,melon
3365,2975,3401,3001,-1,melon
1326,2963,1355,2998,-1,melon
888,2960,913,2985,-1,melon
4319,2941,4348,2984,-1,melon
1690,2951,1737,2984,-1,melon
944,2938,988,2978,-1,melon
403,2939,448,2976,-1,melon
910,2934,932,2971,-1,melon
1282,2932,1315,2961,-1,melon
3688,2913,3720,2954,-1,melon
1259,2917,1298,2946,-1,melon
3721,2906,3751,2941,-1,melon
4148,2893,4173,2926,-1,melon
4002,2888,4040,2918,-1,melon
5200,2882,5242,2918,-1,melon
3339,2858,3373,2905,-1,melon
3748,2886,3780,2905,-1,melon
3376,2878,3408,2902,-1,melon
4041,2866,4064,2901,-1,melon
3723,2861,3765,2896,-1,melon
630,2860,659,2894,-1,melon
594,2866,626,2888,-1,melon
3670,2849,3700,2887,-1,melon
277,2852,314,2885,-1,melon
3371,2846,3404,2880,-1,melon
1337,2844,1363,2877,-1,melon
3705,2844,3732,2875,-1,melon
5013,2851,5049,2873,-1,melon
1597,2825,1629,2863,-1,melon
4310,2815,4338,2862,-1,melon
3382,2824,3418,2860,-1,melon
5023,2834,5054,2855,-1,melon
3402,2822,3444,2852,-1,melon
239,2815,268,2850,-1,melon
5070,2829,5099,2850,-1,melon
336,2817,367,2846,-1,melon
656,2807,686,2841,-1,melon
1642,2810,1658,2840,-1,melon
4972,2813,5008,2833,-1,melon
4077,2805,4109,2826,-1,melon
1348,2791,1377,2822,-1,melon
1695,2781,1721,2821,-1,melon
236,2781,265,2818,-1,melon
3711,2769,3741,2814,-1,melon
4099,2786,4136,2811,-1,melon
280,2774,308,2811,-1,melon
3738,2778,3773,2807,-1,melon
1654,2768,1686,2801,-1,melon
5011,2770,5041,2798,-1,melon
3363,2760,3403,2796,-1,melon
3258,2749,3292,2780,-1,melon
4219,2746,4271,2778,-1,melon
5186,2746,5224,2771,-1,melon
3378,2742,3428,2763,-1,melon
1306,2736,1331,2760,-1,melon
3238,2737,3280,2759,-1,melon
4937,2724,4958,2757,-1,melon
907,2727,946,2756,-1,melon
1674,2715,1706,2756,-1,melon
4329,2726,4370,2753,-1,melon
3710,2716,3746,2750,-1,melon
943,2713,985,2750,-1,melon
661,2721,699,2746,-1,melon
3400,2717,3444,2741,-1,melon
1295,2709,1324,2738,-1,melon
3327,2698,3365,2732,-1,melon
4036,2695,4062,2723,-1,melon
5346,2694,5388,2722,-1,melon
3307,2682,3327,2721,-1,melon
4011,2672,4044,2720,-1,melon
910,2679,951,2720,-1,melon
4967,2686,5001,2719,-1,melon
639,2690,674,2717,-1,melon
5031,2694,5061,2716,-1,melon
5333,2673,5368,2709,-1,melon
1654,2677,1686,2707,-1,melon
5429,2673,5469,2703,-1,melon
671,2673,710,2703,-1,melon
5016,2673,5051,2700,-1,melon
4112,2675,4154,2699,-1,melon
276,2671,315,2697,-1,melon
4202,2646,4226,2684,-1,melon
2039,2636,2067,2676,-1,melon
1987,2637,2022,2675,-1,melon
1636,2640,1684,2674,-1,melon
4260,2617,4296,2670,-1,melon
1297,2635,1321,2669,-1,melon
1326,2635,1358,2668,-1,melon
3632,2641,3665,2667,-1,melon
5193,2641,5225,2666,-1,melon
1365,2629,1394,2662,-1,melon
4344,2634,4373,2656,-1,melon
5168,2626,5197,2655,-1,melon
3897,2616,3955,2648,-1,melon
1657,2583,1687,2624,-1,melon
3698,2602,3735,2619,-1,melon
613,2589,652,2618,-1,melon
1702,2593,1746,2618,-1,melon
150,2570,181,2611,-1,melon
209,2583,253,2611,-1,melon
3728,2581,3766,2603,-1,melon
2007,2572,2054,2602,-1,melon
261,2564,293,2599,-1,melon
944,2561,985,2596,-1,melon
3625,2562,3659,2592,-1,melon
5335,2563,5370,2591,-1,melon
4289,2549,4335,2589,-1,melon
4086,2553,4117,2585,-1,melon
1322,2556,1353,2585,-1,melon
4036,2549,4067,2581,-1,melon
1675,2555,1715,2579,-1,melon
200,2549,237,2574,-1,melon
606,2542,638,2569,-1,melon
249,2533,273,2561,-1,melon
282,2521,317,2554,-1,melon
3745,2522,3776,2546,-1,melon
908,2503,946,2542,-1,melon
4240,2498,4274,2538,-1,melon
946,2500,992,2538,-1,melon
3267,2503,3288,2537,-1,melon
2027,2496,2061,2535,-1,melon
1997,2503,2033,2535,-1,melon
3702,2492,3723,2533,-1,melon
4032,2492,4067,2525,-1,melon
3654,2488,3682,2521,-1,melon
5177,2493,5207,2517,-1,melon
4058,2486,4091,2515,-1,melon
4245,2473,4280,2513,-1,melon
1375,2483,1415,2506,-1,melon
958,2449,995,2500,-1,melon
927,2449,960,2494,-1,melon
1979,2451,2023,2488,-1,melon
1375,2458,1414,2483,-1,melon
4930,2447,4957,2473,-1,melon
635,2441,667,2473,-1,melon
1964,2429,2011,2470,-1,melon
3342,2427,3365,2467,-1,melon
3708,2418,3749,2459,-1,melon
1285,2425,1310,2458,-1,melon
3684,2410,3716,2455,-1,melon
600,2417,636,2449,-1,melon
4058,2401,4101,2431,-1,melon
3250,2399,3279,2426,-1,melon
962,2382,1005,2424,-1,melon
198,2380,232,2424,-1,melon
3403,2401,3437,2424,-1,melon
4311,2394,4358,2424,-1,melon
4085,2391,4119,2421,-1,melon
4326,2368,4365,2397,-1,melon
5323,2368,5357,2394,-1,melon
5156,2370,5200,2390,-1,melon
282,2351,329,2380,-1,melon
662,2343,701,2377,-1,melon
3310,2346,3341,2374,-1,melon
5012,2347,5040,2365,-1,melon
961,2317,992,2362,-1,melon
3716,2339,3752,2361,-1,melon
3683,2311,3708,2356,-1,melon
603,2327,638,2354,-1,melon
914,2300,956,2347,-1,melon
4114,2298,4143,2342,-1,melon
3405,2305,3440,2332,-1,melon
5016,2293,5039,2331,-1,melon
5041,2288,5075,2317,-1,melon
3210,2290,3251,2314,-1,melon
3305,2282,3326,2309,-1,melon
948,2260,990,2308,-1,melon
3368,2275,3400,2304,-1,melon
601,2274,631,2303,-1,melon
3895,2262,3923,2303,-1,melon
4953,2271,4976,2301,-1,melon
3403,2263,3432,2296,-1,melon
647,2263,679,2289,-1,melon
5321,2264,5347,2288,-1,melon
4282,2260,4321,2288,-1,melon
972,2240,1014,2286,-1,melon
3677,2257,3730,2283,-1,melon
4076,2224,4114,2270,-1,melon
5340,2243,5371,2269,-1,melon
5315,2247,5340,2264,-1,melon
4285,2234,4328,2262,-1,melon
3656,2211,3689,2259,-1,melon
608,2218,636,2252,-1,melon
197,2212,226,2244,-1,melon
305,2203,341,2227,-1,melon
656,2192,694,2219,-1,melon
295,2175,334,2209,-1,melon
602,2159,635,2208,-1,melon
955,2166,1020,2199,-1,melon
4989,2173,5017,2197,-1,melon
3620,2171,3666,2195,-1,melon
4270,2163,4317,2195,-1,melon
240,2159,271,2193,-1,melon
3946,2154,3996,2182,-1,melon
929,2137,968,2182,-1,melon
5243,2149,5264,2178,-1,melon
3634,2146,3677,2174,-1,melon
582,2129,614,2172,-1,melon
660,2129,700,2171,-1,melon
4270,2140,4315,2167,-1,melon
1285,2141,1317,2166,-1,melon
222,2139,267,2165,-1,melon
4021,2119,4060,2161,-1,melon
1710,2127,1749,2159,-1,melon
5329,2134,5360,2154,-1,melon
1982,2108,2014,2151,-1,melon
4860,2119,4891,2149,-1,melon
3687,2120,3735,2148,-1,melon
1617,2113,1645,2141,-1,melon
5009,2111,5039,2140,-1,melon
4005,2103,4040,2139,-1,melon
968,2107,1014,2135,-1,melon
1265,2111,1302,2134,-1,melon
3902,2109,3936,2133,-1,melon
1647,2090,1675,2130,-1,melon
4289,2099,4312,2126,-1,melon
4993,2085,5016,2114,-1,melon
4116,2096,4147,2113,-1,melon
3693,2081,3726,2109,-1,melon
2037,2078,2078,2109,-1,melon
617,2080,666,2109,-1,melon
950,2081,1003,2109,-1,melon
5020,2090,5050,2108,-1,melon
1333,2068,1361,2102,-1,melon
4257,2064,4308,2093,-1,melon
3227,2049,3275,2085,-1,melon
3317,2038,3360,2084,-1,melon
2008,2041,2045,2080,-1,melon
5313,2057,5339,2079,-1,melon
293,2036,328,2074,-1,melon
2520,2053,2538,2072,-1,melon
3696,2045,3732,2066,-1,melon
4275,2042,4310,2066,-1,melon
4026,2030,4075,2057,-1,melon
4988,2043,5015,2057,-1,melon
2032,2014,2069,2052,-1,melon
2525,2030,2544,2051,-1,melon
4200,2027,4236,2050,-1,melon
5286,2016,5311,2047,-1,melon
3692,2021,3738,2046,-1,melon
4856,2016,4888,2039,-1,melon
2502,2018,2523,2039,-1,melon
206,1996,242,2032,-1,melon
4038,2005,4079,2031,-1,melon
2492,2000,2513,2020,-1,melon
4839,1993,4873,2013,-1,melon
661,1971,695,2012,-1,melon
4250,1981,4293,2012,-1,melon
4888,1981,4916,2001,-1,melon
3430,1959,3475,1998,-1,melon
4985,1963,5015,1995,-1,melon
3313,1940,3356,1979,-1,melon
258,1943,297,1976,-1,melon
2011,1920,2045,1969,-1,melon
963,1919,1007,1964,-1,melon
4199,1943,4236,1963,-1,melon
1307,1914,1333,1948,-1,melon
612,1909,647,1946,-1,melon
1280,1912,1308,1944,-1,melon
3307,1912,3358,1942,-1,melon
644,1896,675,1938,-1,melon
1329,1901,1355,1930,-1,melon
3668,1899,3713,1922,-1,melon
5302,1893,5332,1920,-1,melon
3636,1875,3661,1918,-1,melon
219,1889,252,1914,-1,melon
4265,1876,4290,1914,-1,melon
262,1866,289,1906,-1,melon
1319,1867,1351,1901,-1,melon
5198,1877,5226,1900,-1,melon
4004,1844,4047,1889,-1,melon
4039,1854,4079,1885,-1,melon
597,1836,630,1881,-1,melon
4184,1847,4219,1866,-1,melon
3287,1821,3332,1864,-1,melon
4282,1837,4329,1863,-1,melon
1000,1825,1042,1859,-1,melon
208,1821,239,1854,-1,melon
3272,1802,3303,1850,-1,melon
4146,1821,4193,1849,-1,melon
3650,1800,3673,1840,-1,melon
3614,1807,3655,1838,-1,melon
965,1809,1012,1832,-1,melon
1095,1800,1133,1830,-1,melon
4963,1810,4988,1827,-1,melon
640,1773,675,1817,-1,melon
1691,1771,1726,1809,-1,melon
597,1762,636,1801,-1,melon
4878,1760,4902,1791,-1,melon
3679,1770,3712,1790,-1,melon
3917,1752,3964,1780,-1,melon
1361,1756,1389,1778,-1,melon
667,1727,699,1769,-1,melon
4062,1739,4108,1764,-1,melon
3622,1723,3650,1762,-1,melon
575,1733,615,1762,-1,melon
4994,1725,5024,1760,-1,melon
1341,1738,1364,1758,-1,melon
624,1722,670,1757,-1,melon
3950,1717,3974,1756,-1,melon
3312,1714,3348,1750,-1,melon
3677,1714,3716,1750,-1,melon
4260,1700,4296,1748,-1,melon
1616,1707,1648,1743,-1,melon
4076,1708,4112,1742,-1,melon
4907,1717,4929,1741,-1,melon
648,1696,687,1729,-1,melon
287,1702,327,1726,-1,melon
3317,1699,3359,1724,-1,melon
3860,1686,3887,1723,-1,melon
1691,1659,1723,1704,-1,melon
4279,1654,4330,1687,-1,melon
4994,1643,5027,1676,-1,melon
301,1635,335,1664,-1,melon
206,1631,237,1663,-1,melon
4864,1628,4890,1662,-1,melon
1622,1620,1649,1662,-1,melon
641,1629,671,1659,-1,melon
3617,1610,3640,1656,-1,melon
5003,1636,5040,1655,-1,melon
274,1623,304,1652,-1,melon
4821,1623,4849,1652,-1,melon
4084,1628,4123,1649,-1,melon
1669,1616,1695,1647,-1,melon
638,1601,685,1631,-1,melon
260,1604,286,1631,-1,melon
4950,1609,4989,1629,-1,melon
4422,1597,4454,1626,-1,melon
4043,1597,4084,1626,-1,melon
5112,1589,5140,1610,-1,melon
4250,1586,4291,1608,-1,melon
3290,1565,3332,1607,-1,melon
635,1571,684,1606,-1,melon
4373,1566,4411,1603,-1,melon
955,1571,1009,1601,-1,melon
897,1565,931,1599,-1,melon
3260,1550,3298,1594,-1,melon
1315,1564,1338,1592,-1,melon
1350,1562,1378,1588,-1,melon
3610,1546,3645,1583,-1,melon
4232,1537,4265,1580,-1,melon
961,1529,999,1577,-1,melon
602,1532,635,1575,-1,melon
225,1541,255,1569,-1,melon
4841,1542,4875,1562,-1,melon
5288,1526,5325,1551,-1,melon
5259,1522,5278,1549,-1,melon
1621,1504,1652,1548,-1,melon
3216,1514,3256,1540,-1,melon
4027,1498,4064,1534,-1,melon
3676,1502,3715,1527,-1,melon
4962,1499,4994,1522,-1,melon
1324,1496,1351,1520,-1,melon
5305,1490,5340,1517,-1,melon
668,1474,717,1507,-1,melon
289,1476,325,1505,-1,melon
3680,1482,3717,1505,-1,melon
1683,1463,1717,1498,-1,melon
265,1460,297,1496,-1,melon
220,1458,255,1485,-1,melon
604,1441,638,1484,-1,melon
4933,1443,4968,1482,-1,melon
3995,1446,4025,1482,-1,melon
4984,1453,5019,1475,-1,melon
3907,1442,3935,1475,-1,melon
3307,1437,3355,1470,-1,melon
1656,1436,1679,1467,-1,melon
3254,1416,3298,1451,-1,melon
